ETP_DN2_DOWN;ETP_DN2_UP;DN2-DN3a_DOWN;DN2-DN3a_UP;DN3a_DN3b_DOWN;DN3a_DN3b_UP;DN3b_DN3-4_DOWN;DN3b_DN3-4_UP;DN3-4_ISP_DOWN;DN3-4_ISP_UP;ISP_DP_DOWN;ISP_DP_UP
CCR9;CDC25B;DUSP6;NRP1;CCR9;CD2;IL27RA;RORC;NTAN1;PHLDA1;NRP1;CD2
DUSP6;null;CENPE;CCR9;CD3D;CENPE;RAB1B;null;CCDC59;CCR9;CENPE;F13A1
CD44;CCNE2;YAF2;CD3D;FBP1;RASA2;CD53;MR1;TMSB10;CENPE;CYP39A1;CERK
FRMD4B;NEK2;CD44;SIT1;EMID1;ARSI;SCIN;DEK;SNRPD1;ARSI;GSG2;CCR9
GEM;TIMP2;ITGB7;SEMA7A;DDIT4;GSG2;FBXL6;RAG2;MRPL52;GSG2;CDKN2C;DUSP6
CD81;KIF11;GEM;DUSP10;VAMP1;UBE2C;ATP5D;;IGBP1;CDKN2C;LCP1;MFHAS1
TSPAN32;SHCBP1;LCP1;null;DZIP1;CDKN2C;EIF5A;;null;LYST;ECT2;DENND2D
EVL;PLK1;CD81;TXK;ID2;CDC25B;null;;FXYD5;TTK;null;NEDD9
ARHGEF3;MNS1;TSPAN32;EMID1;PLCB2;ITGB2;SOX4;;MRPS26;CDC25C;CCNE2;SEMA7A
SLC2A3;COLQ;ECT2;VAMP1;TSHZ2;CD81;CORO2A;;NUTF2;null;PRDX4;ITGB2
GRAMD3;CCNA2;null;THY1;PRRT1;ECT2;NOTCH3;;FAIM;RORC;TTK;TSPAN32
WDFY2;RRM2;CCNE2;LEF1;CLEC2D;null;SEMA4A;;LGMN;SP4;BCAT1;null
ARRB1;GATA3;PYGL;ITPR2;PDK2;CCNE2;PLEKHA7;;RPL19;FAS;CDC25C;CD4
MAP4K5;SPAG5;TTK;PVR;MYLIP;PRDX4;CCND2;;VPS28;ASPM;SDAD1;SDC4
EMP1;THY1;null;KCTD2;BACH2;TTK;IL2RA;;PCGF1;RCBTB2;PHIP;GSN
PVR;RACGAP1;USP33;ITK;TXNIP;BCAT1;NKG7;;ETV5;BUB1;null;null
RGS1;TCF19;CDC25C;LIPG;HINT3;USP33;null;;NDUFB7;MALAT1;NEK2;TXK
RRAD;CCNE1;null;TSHZ2;HMHA1;CDC25C;null;;RPS25;CCNB1;FUS;RORC
MEF2A;KIF22;NEK2;PRRT1;ARHGEF12;SDAD1;PLD4;;CD53;NIPBL;SFRS2IP;ST6GAL1
null;PBK;KIF11;SPATS2;null;POLG;IFITM2;;RABIF;ZDHHC2;KIF11;GRAMD3
RGS2;AP3S1;BIRC5;KIF21B;RASSF2;null;H19;;RPL11;CDC7;null;SPRR1B
ANKRD6;ITK;TACC3;SLC25A23;GPRC5B;NEK2;;;DAD1;RAD51;SLC39A8;VAMP1
PLXNC1;HMMR;OXCT1;LIME1;SEPP1;KIF11;;;null;RPA3;DDX27;TNK2
PRKCE;BACE1;GPD2;HDGFRP3;GNG2;null;;;IL7R;CD97;CENPF;LRIG1
GIMAP6;E2F8;SHCBP1;PDK2;SP100;UBLCP1;;;HSBP1;GANAB;BIRC5;FAS
null;RAB27A;CEP55;TXNIP;CLDN4;RORC;;;EMP3;ARF6;PRPF40A;DZIP1
EGFL7;KIF2C;null;SLAMF6;SOCS3;CENPF;;;SEPX1;CYCS;PRPF19;TRIO
GIMAP4;NCK2;PPIL5;null;ERG;BIRC5;;;null;KIF18A;CTAGE5;KLF7
KLF6;IL12RB2;DBF4;ATP1B1;PLD3;CTAGE5;;;SUMO1;BCL2L1;TACC3;MAP4K5
LAG3;TUBA8;CKS1B;KREMEN1;AP3M2;TACC3;;;RPL28;null;BZW2;POU5F1
UBL3;CCNF;ST3GAL2;ETS2;CLCF1;OXCT1;;;ASS1;RPL13;OXCT1;null
IL6ST;CDC6;CCNA2;CLDN4;RNF166;GPD2;;;null;COX7C;GPD2;PVR
RHOQ;CLEC2D;RRM2;SH2D2A;CDH23;SHCBP1;;;MRPS18B;BCL6;SHCBP1;RRAD
IER5;NCAPG2;TRIP13;CTSB;DYRK1B;CEP55;;;RBPMS;BARD1;GALK1;PTPN14
GSTM5;SLAMF6;CENPK;SOCS3;null;null;;;MAP1LC3B;CDKN1B;SLC25A4;null
CCND1;ATP1B1;PSMD1;PLD3;DGKA;PPIL5;;;DNMT3B;NDUFB10;CENPJ;CACNA1E
SGPL1;FGF3;SPAG5;CDH23;PHOSPHO1;DBF4;;;B2M;COX6A1;CEP55;TNNT3
TNF;TUBB3;BLM;CHST10;TMEM38A;PLK1;;;UXT;TUBB2A;MTDH;null
FLT3;BDH1;ASPM;SOAT1;HSD11B1;CKS1B;;;UBE2D1;SH2D1A;LSM5;ANKRD6
CTSG;NUSAP1;LIG1;TNFRSF8;ANGPT1;CDCA3;;;null;COX5A;null;VAMP2
FOSB;CCND3;DHFR;DYRK1B;WBSCR27;CCNA2;;;PSME1;RPS21;PPIL5;ITK
ABCA1;CENPH;LACTB;AGPAT3;NFAM1;RRM2;;;S100A11;null;RECQL;PLEKHF1
CD52;ANP32E;CCNE1;DGKA;ZBP1;CENPA;;;PARP8;RPS8;ARL1;GTF2H4
SPRY2;RASGRP1;MTX2;GFRA1;CPNE2;PDSS1;;;HES1;ASNA1;ATP2A2;EPHB6
CTSS;GZMA;RGS1;PHOSPHO1;TNFAIP3;TRIP13;;;CPA3;RPL11;DBF4;null
IFNGR2;ASF1B;NCAPH;ERRFI1;RPS6KL1;SHMT2;;;CCND2;RPSA;PLK1;GIMAP6
ARID5B;FYB;RAD51AP1;HSD11B1;ESR1;CENPK;;;IL2RA;null;CNIH4;GPSM3
SKIL;MCM10;KIF22;SH2D1A;TGFBR3;SKP2;;;null;WBP5;DNAJB6;ARHGAP4
